Date,Time,Date/Time,Measurement (cm)
1/27/16,11:47:53 AM,1/27/2016 11:47:53,3.2
1/27/16,9:07:07 PM,1/27/2016 21:07:07,1.6
1/27/16,11:30:12 PM,1/27/2016 23:30:12,0.0
1/27/16,11:30:25 PM,1/27/2016 23:30:25,4.0
1/28/16,8:29:57 AM,1/28/2016 8:29:57,3.7
1/28/16,1:37:38 PM,1/28/2016 13:37:38,2.0
1/28/16,4:29:28 PM,1/28/2016 16:29:28,1.7
1/29/16,12:02:25 AM,1/29/2016 0:02:25,1.3
1/29/16,8:49:19 AM,1/29/2016 8:49:19,0.2
1/29/16,5:15:55 PM,1/29/2016 17:15:55,2.2
1/30/16,10:05:49 AM,1/30/2016 10:05:49,1.8
1/30/16,10:55:49 AM,1/30/2016 10:55:49,0.0
1/30/16,10:56:13 AM,1/30/2016 10:56:13,4.0
1/31/16,3:31:52 AM,1/31/2016 3:31:52,0.8
1/31/16,7:13:56 PM,1/31/2016 19:13:56,2.9
2/1/16,9:49:27 AM,2/1/2016 9:49:27,0.8
2/1/16,1:21:10 PM,2/1/2016 13:21:10,0.0
2/1/16,1:21:16 PM,2/1/2016 13:21:16,4.0
2/1/16,11:41:22 PM,2/1/2016 23:41:22,3.0
2/2/16,9:33:22 AM,2/2/2016 9:33:22,2.7
2/2/16,11:04:39 PM,2/2/2016 23:04:39,3.1
2/3/16,1:00:17 PM,2/3/2016 13:00:17,0.7
2/3/16,10:24:07 PM,2/3/2016 22:24:07,3.1
2/4/16,11:05:38 AM,2/4/2016 11:05:38,1.9
2/4/16,5:30:38 PM,2/4/2016 17:30:38,1.1
2/5/16,2:38:33 AM,2/5/2016 2:38:33,2.8
2/5/16,7:48:12 PM,2/5/2016 19:48:12,3.0
2/6/16,10:50:18 AM,2/6/2016 10:50:18,0.7
2/6/16,1:08:41 PM,2/6/2016 13:08:41,3.1
2/6/16,3:49:54 PM,2/6/2016 15:49:54,3.1
2/7/16,11:01:30 AM,2/7/2016 11:01:30,1.0
2/8/16,9:45:06 AM,2/8/2016 9:45:06,2.6
2/8/16,9:09:06 PM,2/8/2016 21:09:06,1.8
2/9/16,9:06:42 PM,2/9/2016 21:06:42,0.6
